Rk,Player,Pos,G,AST,TOV
1,Russell Westbrook,PG,80,820,381
2,LeBron James,PF,82,747,347
3,Ben Simmons,PG,81,661,278
4,James Harden,SG,72,630,315
5,Kyle Lowry,PG,78,537,183
6,Rajon Rondo,PG,65,533,151
7,Spencer Dinwiddie,PG,80,524,128
8,Draymond Green,PF,70,508,202
9,Jeff Teague,PG,70,492,177
10,Jrue Holiday,SG,81,486,213
11,Damian Lillard,PG,73,481,206
12,Nikola Jokic,C,75,458,210
13,Chris Paul,PG,58,457,128
14,Kemba Walker,PG,80,444,179
15,J.J. Barea,PG,69,434,143
16,Dennis Schroder,PG,67,417,183
17,Lou Williams,SG,79,417,234
18,DeMar DeRozan,SG,80,417,175
19,Ricky Rubio,PG,77,410,207
20,Elfrid Payton,PG,63,393,168
21,John Wall,PG,41,393,158
22,Joe Ingles,SF,82,392,159
23,Lonzo Ball,PG,52,376,136
24,Bradley Beal,SG,82,373,214
25,Eric Bledsoe,PG,74,370,216
26,Darren Collison,PG,69,368,86
27,Kevin Durant,PF,68,366,207
28,Giannis Antetokounmpo,PF,75,361,223
29,Eric Bledsoe,PG,71,361,206
30,Ish Smith,PG,82,360,108
31,Goran Dragic,PG,75,359,166
32,Dennis Smith,PG,69,358,194
33,Nicolas Batum,SG,64,349,131
34,Jarrett Jack,PG,62,348,115
35,Jerian Grant,PG,74,342,89
36,Al Horford,C,72,339,132
37,Blake Griffin,PF,58,334,165
38,Will Barton,SG,81,331,149
39,Khris Middleton,SF,82,328,191
40,Victor Oladipo,SG,75,323,219
41,De'Aaron Fox,PG,73,320,173
42,Tyler Ulis,PG,71,311,127
43,Stephen Curry,PG,51,310,153
44,Kris Dunn,PG,52,310,150
45,Kyrie Irving,PG,60,306,140
46,Marc Gasol,C,73,305,194
47,T.J. McConnell,PG,76,303,112
48,Caris LeVert,SF,71,299,153
49,Donovan Mitchell,SG,79,291,215
50,Jimmy Butler,SG,59,288,108
51,D.J. Augustin,PG,75,287,123
52,Tomas Satoransky,SG,73,286,83
53,James Johnson,PF,73,280,141
54,Elfrid Payton,PG,44,275,114
55,Jamal Murray,PG,81,274,172
56,CJ McCollum,SG,81,272,151
57,Shelvin Mack,PG,69,272,89
58,Tyreke Evans,PG,52,269,117
59,Paul George,SF,79,263,212
60,Cory Joseph,PG,82,260,87
61,Marcus Smart,SG,54,259,129
62,Bogdan Bogdanovic,SG,78,258,125
63,DeMarcus Cousins,C,48,257,242
64,Devin Booker,SG,54,253,194
65,Frank Ntilikina,PG,78,250,131
66,D'Angelo Russell,PG,48,249,147
67,Denzel Valentine,SG,77,244,99
68,Fred VanVleet,PG,76,243,74
69,Austin Rivers,SG,61,242,109
70,Pau Gasol,C,77,238,108
71,Reggie Jackson,PG,45,238,99
72,Andre Drummond,C,78,237,200
73,Lance Stephenson,SG,82,235,131
74,Terry Rozier,PG,80,232,80
75,Tyus Jones,PG,82,232,59
76,Dejounte Murray,PG,81,231,134
77,Josh Richardson,SF,81,231,140
78,Brandon Ingram,SF,59,230,149
79,Patty Mills,PG,82,229,106
80,Dwyane Wade,SG,67,228,140
81,Kent Bazemore,SG,65,228,157
82,Jordan Clarkson,SG,81,221,127
83,Taurean Waller-Prince,SF,82,214,191
84,Julius Randle,C,82,210,213
85,J.J. Redick,SG,70,210,103
86,Andre Iguodala,SF,64,210,67
87,Milos Teodosic,PG,45,209,97
88,Kelly Olynyk,PF,76,207,147
89,Isaiah Taylor,PG,67,206,84
90,Emmanuel Mudiay,PG,64,206,113
91,Raymond Felton,PG,82,203,76
92,Kyle Anderson,SF,74,202,94
93,Dario Saric,PF,78,202,148
94,Yogi Ferrell,SG,82,201,78
95,Delon Wright,PG,69,200,78
96,Karl-Anthony Towns,C,82,199,159
97,Joel Embiid,C,63,199,234
98,Mario Chalmers,PG,66,197,117
99,Tony Parker,PG,55,195,68
100,Gary Harris,SG,67,194,119
